ID,Date,Team,Acquired,Relinquished,Notes
8166,09/01/2006,Bulls,, Eddie Basden,placed on IL
8167,09/01/2006,Bulls, Tyson Chandler,,activated from IL
8168,09/01/2006,Raptors,, Loren Woods,placed on IL
8169,09/01/2006,Raptors, Aaron Williams,,activated from IL
8170,09/01/2006,Wizards,, Chucky Atkins,placed on IL with birth of child
8171,09/01/2006,Wizards, Jared Jeffries,,activated from IL
8172,10/01/2006,Bobcats,, Kareem Rush,placed on IL
8173,10/01/2006,Bobcats, Emeka Okafor,,activated from IL
8174,10/01/2006,Clippers,, Elton Brand,placed on IL with bruised right hip
8175,10/01/2006,Clippers, Boniface N'Dong,,activated from IL
8176,10/01/2006,Hornets,, Brandon Bass,placed on IL
8177,10/01/2006,Hornets, Chris Paul,,activated from IL
8178,10/01/2006,Knicks,, Qyntel Woods,placed on IL
8179,10/01/2006,Knicks, Jamal Crawford,,activated from IL
8180,10/01/2006,Magic,, Travis Diener,placed on IL
8181,10/01/2006,Magic, Kelvin Cato,,activated from IL
8182,10/01/2006,Nets,, Richard Jefferson,placed on IL with back spasms
8183,10/01/2006,Nets, Linton Johnson III,,activated from IL
8184,10/01/2006,Spurs,, Sean Marks,placed on IL with sprained ankle
8185,10/01/2006,Spurs, Beno Udrih,,activated from IL
8186,10/01/2006,Timberwolves,, Nikoloz Tskitishvili,placed on IL
8187,10/01/2006,Timberwolves, Ronald Dupree,,activated from IL
8188,11/01/2006,76ers,, Lee Nailon,placed on IL
8189,11/01/2006,76ers, Chris Webber,,activated from IL
8190,11/01/2006,Blazers,, Ha Seung-Jin,placed on IL
8191,11/01/2006,Blazers, Sergei Monia,,activated from IL
8192,11/01/2006,Bobcats,, Emeka Okafor,placed on IL with sprained ankle
8193,11/01/2006,Bobcats, Sean May,,activated from IL
8194,11/01/2006,Knicks,, Malik Rose,placed on IL
8195,11/01/2006,Knicks, Qyntel Woods,,activated from IL
8196,11/01/2006,Magic,, Terence Morris,placed on IL
8197,11/01/2006,Magic, Keyon Dooling,,activated from IL
8198,11/01/2006,Timberwolves,, Richie Frahm,placed on IL
8199,11/01/2006,Timberwolves, Nikoloz Tskitishvili,,activated from IL
8200,12/01/2006,Cavaliers,, Martynas Andriuskevicius,placed on IL
8201,12/01/2006,Cavaliers, Anderson Varejao,,activated from IL
8202,12/01/2006,Pistons,, Jason Maxiell,placed on IL
8203,12/01/2006,Pistons, Alex Acker,,activated from IL
8204,12/01/2006,Spurs,, Sean Marks,placed on IL
8205,12/01/2006,Spurs, Beno Udrih,,activated from IL
8206,13/01/2006,Grizzlies,, Anthony Roberson,placed on IL
8207,13/01/2006,Grizzlies, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
8208,13/01/2006,Heat,, Shandon Anderson,placed on IL
8209,13/01/2006,Heat, Gerald Fitch,,activated from IL
8210,13/01/2006,Hornets,, Chris Andersen,placed on IL with flu
8211,13/01/2006,Hornets, Brandon Bass,,activated from IL
8212,13/01/2006,Knicks,, Trevor Ariza,placed on IL
8213,13/01/2006,Knicks, Malik Rose,,activated from IL
8214,13/01/2006,Magic,, Steve Francis,placed on IL (due to suspension)
8215,13/01/2006,Magic, Terence Morris,,activated from IL
8216,13/01/2006,Nets,, Linton Johnson III,placed on IL
8217,13/01/2006,Nets, Antoine Wright,,activated from IL
8218,13/01/2006,Sonics,, Reggie Evans,placed on IL (funeral)
8219,13/01/2006,Sonics, Danny Fortson,,activated from IL
8220,14/01/2006,Clippers,, Kaniel Dickens,placed on IL with right ankle injury
8221,14/01/2006,Clippers, Boniface N'Dong,,activated from IL
8222,14/01/2006,Grizzlies,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IL
8223,14/01/2006,Grizzlies, Anthony Roberson,,activated from IL
8224,14/01/2006,Heat,, Jason Williams,placed on IL
8225,14/01/2006,Heat, Shandon Anderson,,activated from IL
8226,14/01/2006,Sonics,, Danny Fortson,placed on IL with sore left knee
8227,14/01/2006,Sonics,, Vitaly Potapenko,placed on IL with strained lower back
8228,14/01/2006,Sonics, Reggie Evans,,activated from IL
8229,14/01/2006,Sonics, Rick Brunson,,activated from IL
8230,14/01/2006,Warriors,, Calbert Cheaney,placed on IL
8231,14/01/2006,Warriors, Mickael Pietrus,,activated from IL
8232,15/01/2006,Blazers,, Martell Webster,placed on IL
8233,15/01/2006,Blazers,, Sergei Monia,placed on IL
8234,15/01/2006,Blazers, Charles Smith (Cornelius),,activated from IL
8235,15/01/2006,Blazers, Ha Seung-Jin,,activated from IL
8236,15/01/2006,Cavaliers, Zendon Hamilton,,activated from IL
8237,15/01/2006,Knicks,, Qyntel Woods,placed on IL
8238,15/01/2006,Knicks, Trevor Ariza,,activated from IL
8239,15/01/2006,Magic,, Charles Outlaw / Bo Outlaw,placed on IL
8240,15/01/2006,Magic, Grant Hill,,activated from IL
8241,15/01/2006,Raptors,, Mike James (Lamont),placed on IL with back spasms
8242,15/01/2006,Raptors, Loren Woods,,activated from IL
8243,16/01/2006,Bulls, Eddie Basden,,activated from IL
8244,16/01/2006,Grizzlies,, Antonio Burks,placed on IL
8245,16/01/2006,Grizzlies, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
8246,16/01/2006,Knicks,, Trevor Ariza,placed on IL
8247,16/01/2006,Knicks, Qyntel Woods,,activated from IL
8248,16/01/2006,Nets,, Jeff McInnis,placed on IL with torn cartilage in left knee
8249,16/01/2006,Nets, Richard Jefferson,,activated from IL
8250,16/01/2006,Pistons,, Alex Acker,placed on IL
8251,16/01/2006,Pistons, Jason Maxiell,,activated from IL
8252,17/01/2006,Raptors,, Loren Woods,placed on IL
8253,17/01/2006,Raptors, Mike James (Lamont),,activated from IL
8254,18/01/2006,Grizzlies,, Lorenzen Wright,placed on IL with bruised left knee
8255,18/01/2006,Grizzlies, Antonio Burks,,activated from IL
8256,18/01/2006,Hornets,, Bostjan Nachbar,placed on IL
8257,18/01/2006,Hornets, Chris Andersen,,activated from IL
8258,18/01/2006,Knicks,, Stephon Marbury,placed on IL with sprained left shoulder
8259,18/01/2006,Knicks, Trevor Ariza,,activated from IL
8260,18/01/2006,Magic,, Grant Hill,placed on IL with abdominal pain
8261,18/01/2006,Timberwolves,, Nikoloz Tskitishvili,placed on IL
8262,18/01/2006,Timberwolves, Bracey Wright,,activated from IL
8263,19/01/2006,Lakers,, Ronny Turiaf,placed on IL with heart problems
8264,20/01/2006,76ers,, Louis Williams / Lou Williams,placed on IL
8265,20/01/2006,76ers, Lee Nailon,,activated from IL
8266,20/01/2006,Bobcats,, Sean May,placed on IL with torn cartilage in right knee (out at least 6 weeks)
8267,20/01/2006,Bobcats, Melvin Ely,,activated from IL
8268,20/01/2006,Cavaliers, Drew Gooden,,activated from IL
8269,20/01/2006,Grizzlies,, Lawrence Roberts,placed on IL
8270,20/01/2006,Grizzlies, Lorenzen Wright,,activated from IL
8271,20/01/2006,Heat,, Gerald Fitch,placed on IL
8272,20/01/2006,Heat, Dorell Wright,,activated from IL
8273,20/01/2006,Jazz,, Jarron Collins,placed on IL
8274,20/01/2006,Jazz, Andre Owens,,activated from IL
8275,20/01/2006,Magic,, Kelvin Cato,placed on IL with sprained ankle
8276,20/01/2006,Magic, Terence Morris,,activated from IL
8277,20/01/2006,Pacers, Jamaal Tinsley,,activated from IL
8278,20/01/2006,Raptors,, Rafael Araujo,placed on IL with sore right shoulder
8279,20/01/2006,Raptors, Pape Sow,,activated from IL
8280,20/01/2006,Spurs,, Robert Horry,placed on IL with strained lower abdominal muscle
8281,20/01/2006,Spurs, Sean Marks,,activated from IL
8282,20/01/2006,Wizards,, Etan Thomas,placed on IL with death of grandmother
8283,20/01/2006,Wizards, Peter John Ramos,,activated from IL
8284,21/01/2006,Nets,, Lamond Murray,placed on IL with strained left knee
8285,21/01/2006,Nets, Linton Johnson III,,activated from IL
8286,22/01/2006,Clippers,, Boniface N'Dong,placed on IL
8287,22/01/2006,Clippers, Zeljko Rebraca,,activated from IL
8288,22/01/2006,Grizzlies,, Iakovos Tsakalidis / Jake Tsakalidis,placed on IL
8289,22/01/2006,Grizzlies, Lawrence Roberts,,activated from IL
8290,22/01/2006,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with sprained right ankle
8291,23/01/2006,Jazz,, Andre Owens,placed on IL
8292,23/01/2006,Jazz,, Matt Harpring,placed on IL
8293,24/01/2006,76ers,, Lee Nailon,placed on IL with arrest for domestic disturbance
8294,24/01/2006,76ers, Louis Williams / Lou Williams,,activated from IL
8295,24/01/2006,Grizzlies,, Anthony Roberson,placed on IL
8296,24/01/2006,Grizzlies,, Chucky Atkins,placed on IL
8297,24/01/2006,Grizzlies, Iakovos Tsakalidis / Jake Tsakalidis,,activated from IL
8298,24/01/2006,Pistons,, Carlos Delfino,placed on IL
8299,24/01/2006,Pistons, Amir Johnson,,activated from IL
8300,25/01/2006,Celtics,, Justin Reed,placed on IL
8301,25/01/2006,Celtics, Ryan Gomes,,activated from IL
8302,25/01/2006,Grizzlies,, Antonio Burks,placed on IL
8303,25/01/2006,Grizzlies, Lawrence Roberts,,activated from IL
8304,25/01/2006,Jazz,, Matt Harpring,placed on IL with knee injury
8305,25/01/2006,Jazz, Andre Owens,,activated from IL
8306,25/01/2006,Knicks,, Trevor Ariza,placed on IL
8307,25/01/2006,Knicks, Stephon Marbury,,activated from IL
8308,25/01/2006,Pistons,, Amir Johnson,placed on IL
8309,25/01/2006,Pistons, Alex Acker,,activated from IL
8310,25/01/2006,Wizards,, Peter John Ramos,placed on IL
8311,25/01/2006,Wizards, Etan Thomas,,activated from IL
8312,26/01/2006,Heat,, Jason Williams,placed on IL with a cut right ring finger
8313,26/01/2006,Heat, Gerald Fitch,,activated from IL
8314,27/01/2006,Bucks,, Reece Gaines,placed on IL
8315,27/01/2006,Bucks, Charlie Bell,,activated from IL
8316,27/01/2006,Celtics,, Dwayne Jones,placed on IL
8317,27/01/2006,Clippers,, Zeljko Rebraca,placed on IL with chest pains
8318,27/01/2006,Clippers, Boniface N'Dong,,activated from IL
8319,27/01/2006,Heat,, Dwyane Wade,placed on IL
8320,27/01/2006,Heat,, Earl Barron,placed on IL with back injury
8321,27/01/2006,Kings, Ron Artest / Metta World Peace,,activated from IL
8322,27/01/2006,Knicks,, Jerome James,placed on IL with strained neck
8323,27/01/2006,Knicks, Jackie Butler,,activated from IL
8324,27/01/2006,Nets,, Vince Carter,placed on IL with sore lower back
8325,27/01/2006,Nets, Lamond Murray,,activated from IL
8326,27/01/2006,Nuggets,, Julius Hodge,placed on IL
8327,27/01/2006,Nuggets, Marcus Camby,,activated from IL
8328,27/01/2006,Pacers,, Jeff Foster,back spasms (DNP)
8329,27/01/2006,Pacers,, Jermaine O'Neal,placed on IL with torn left groin
8330,27/01/2006,Pistons,, Alex Acker,placed on IL
8331,27/01/2006,Pistons, Carlos Delfino,,activated from IL
8332,27/01/2006,Suns,, Nikoloz Tskitishvili,placed on IL
8333,27/01/2006,Timberwolves,, Bracey Wright,placed on IL
8334,27/01/2006,Timberwolves,, Marcus Banks,placed on IL
8335,28/01/2006,Grizzlies,, Lawrence Roberts,placed on IL
8336,28/01/2006,Grizzlies, Antonio Burks,,activated from IL
8337,28/01/2006,Hornets, Bostjan Nachbar,,activated from IL
8338,28/01/2006,Jazz,, Greg Ostertag,placed on IL with suspension
8339,28/01/2006,Jazz, Matt Harpring,,activated from IL
8340,28/01/2006,Mavericks,, Devin Harris,placed on IL with strained right shoulder
8341,28/01/2006,Mavericks, Marquis Daniels,,activated from IL
8342,28/01/2006,Nets,, Linton Johnson III,placed on IL
8343,28/01/2006,Nets, Vince Carter,,activated from IL
8344,28/01/2006,Sonics,, Rick Brunson,placed on IL
8345,28/01/2006,Spurs,, Melvin Sanders,placed on IL
8346,28/01/2006,Spurs,, Sean Marks,placed on IL
8347,28/01/2006,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
8348,28/01/2006,Spurs, Robert Horry,,activated from IL
8349,28/01/2006,Wizards,, Awvee Storey,placed on IL
8350,28/01/2006,Wizards, Peter John Ramos,,activated from IL
8351,29/01/2006,Bucks,, Maurice Williams / Mo Williams,placed on IL with sprained left ankle
8352,29/01/2006,Bucks, Reece Gaines,,activated from IL
8353,30/01/2006,Bobcats,, Keith Bogans,placed on IL with sprained MCL in right knee
8354,30/01/2006,Bobcats, Kareem Rush,,activated from IL
8355,30/01/2006,Jazz,, Robert Whaley,placed on IL with torn cartilage in right knee
8356,30/01/2006,Jazz, Greg Ostertag,,activated from IL
8357,30/01/2006,Rockets,, Jon Barry,placed on IL with strained right calf
8358,30/01/2006,Rockets, Yao Ming,,activated from IL
8359,30/01/2006,Spurs,, Nick Van Exel,placed on IL with elbow injury
8360,30/01/2006,Spurs,, Robert Horry,placed on IL with abdominal strain
8361,30/01/2006,Spurs, Melvin Sanders,,activated from IL
8362,30/01/2006,Spurs, Sean Marks,,activated from IL
8363,30/01/2006,Timberwolves,, Ronald Dupree,placed on IL
8364,30/01/2006,Timberwolves, Marcus Banks,,activated from IL
8365,31/01/2006,Kings,, Brad Miller,placed on IL with broken right thumb
8366,31/01/2006,Kings, Bonzi Wells,,activated from IL
8367,31/01/2006,Mavericks,, Josh Powell,placed on IL
8368,31/01/2006,Mavericks, Devin Harris,,activated from IL
8369,31/01/2006,Suns, Nikoloz Tskitishvili,,activated from IL
8370,31/01/2006,Wizards,, Peter John Ramos,placed on IL
8371,31/01/2006,Wizards, Awvee Storey,,activated from IL
8372,01/02/2006,Cavaliers,, Ira Newble,placed on IL with facial abscess
8373,01/02/2006,Cavaliers, Martynas Andriuskevicius,,activated from IL
8374,01/02/2006,Hornets,, Brandon Bass,placed on IL
8375,01/02/2006,Magic,, Jameer Nelson,placed on IL with sprained right foot
8376,01/02/2006,Magic, Grant Hill,,activated from IL
8377,01/02/2006,Nuggets,, Marcus Camby,placed on IL with strained muscle in left shoulder
8378,01/02/2006,Nuggets, Julius Hodge,,activated from IL
8379,01/02/2006,Raptors, Loren Woods,,activated from IL
8380,01/02/2006,Rockets,, Stromile Swift,placed on IL for being late for shoot around
8381,01/02/2006,Rockets, Jon Barry,,activated from IL
8382,01/02/2006,Spurs,, Melvin Sanders,placed on IL
8383,01/02/2006,Spurs, Robert Horry,,activated from IL
8384,01/02/2006,Warriors,, Chris Taft,placed on IL
8385,01/02/2006,Warriors, Calbert Cheaney,,activated from IL
8386,01/02/2006,Hornets,, Steven Hunter,placed on IL
8387,02/02/2006,Heat,, Dorell Wright,placed on IL
8388,02/02/2006,Heat,, Gerald Fitch,placed on IL
8389,02/02/2006,Heat, Jason Williams,,activated from IL
8390,02/02/2006,Heat, Shandon Anderson,,activated from IL
8391,02/02/2006,Spurs,, Fabricio Oberto,placed on IL
8392,02/02/2006,Spurs, Nick Van Exel,,activated from IL
8393,03/02/2006,Jazz,, Andre Owens,placed on IL
8394,03/02/2006,Knicks,, Stephon Marbury,placed on IL with sore shoulder
8395,03/02/2006,Knicks, Trevor Ariza,,activated from IL
8396,03/02/2006,Pistons,, Darko Milicic,placed on IL
8397,03/02/2006,Pistons, Alex Acker,,activated from IL
8398,03/02/2006,Rockets,, Jon Barry,placed on IL with strained right calf
8399,03/02/2006,Rockets, Stromile Swift,,activated from IL
8400,03/02/2006,Celtics, Gerald Green (b. 1986-01-26),,activated from IL
8401,03/02/2006,Jazz, C.J. Miles,,activated from IL
8402,04/02/2006,Bucks,, Reece Gaines,placed on IL
8403,04/02/2006,Bucks, Joe Smith (Leynard),,activated from IL
8404,04/02/2006,Heat,, Udonis Haslem,placed on IL with death in family
8405,04/02/2006,Heat, Dorell Wright,,activated from IL
8406,04/02/2006,Nets,, Nenad Krstic,placed on IL with flu
8407,04/02/2006,Nets, Linton Johnson III,,activated from IL
8408,04/02/2006,Nuggets,, Kenyon Martin Sr.,placed on IL with bruised left knee
8409,04/02/2006,Nuggets, Marcus Camby,,activated from IL
8410,04/02/2006,Pistons,, Alex Acker,placed on IL
8411,04/02/2006,Pistons, Darko Milicic,,activated from IL
8412,04/02/2006,Timberwolves,, Troy Hudson,placed on IL with sore ankle
8413,04/02/2006,Timberwolves, Ronald Dupree,,activated from IL
8414,05/02/2006,Knicks,, Trevor Ariza,placed on IL
8415,05/02/2006,Knicks, Jerome James,,activated from IL
8416,05/02/2006,Raptors,, Antonio Davis,placed on IL
8417,05/02/2006,Raptors, Rafael Araujo,,activated from IL
8418,06/02/2006,Cavaliers,, Luke Jackson (Ryan),placed on IL with broken left wrist
8419,06/02/2006,Heat,, Dorell Wright,placed on IL
8420,06/02/2006,Heat, Udonis Haslem,,activated from IL
8421,06/02/2006,Nets,, Linton Johnson III,placed on IL
8422,06/02/2006,Nets, Nenad Krstic,,activated from IL
8423,06/02/2006,Nuggets,, Julius Hodge,placed on IL
8424,06/02/2006,Nuggets, Kenyon Martin Sr.,,activated from IL
8425,07/02/2006,Kings,, Bonzi Wells,placed on IL with strained right groin
8426,07/02/2006,Kings, Brad Miller,,activated from IL
8427,07/02/2006,Pistons,, Jason Maxiell,placed on IL
8428,07/02/2006,Pistons, Lindsey Hunter,,activated from IL
8429,08/02/2006,Bucks,, Toni Kukoc,placed on IL with sprained left elbow
8430,08/02/2006,Bucks, Reece Gaines,,activated from IL
8431,08/02/2006,Lakers,, Chris Mihm,placed on IL with sore right shoulder
8432,08/02/2006,Lakers, Ronny Turiaf,,activated from IL
8433,08/02/2006,76ers,, Steven Hunter,placed on IL
8434,09/02/2006,Heat,, Alonzo Mourning,placed on IL with flu
8435,09/02/2006,Heat, Gerald Fitch,,activated from IL
8436,10/02/2006,Blazers,, Joel Przybilla,placed on IL
8437,10/02/2006,Blazers, Martell Webster,,activated from IL
8438,10/02/2006,Bobcats,, Gerald Wallace,placed on IL with medial tibia bone bruise
8439,10/02/2006,Celtics,, Al Jefferson,placed on IL with sprained right ankle
8440,10/02/2006,Celtics, Dwayne Jones,,activated from IL
8441,10/02/2006,Hornets,, Chris Paul,placed on IL with bruised ribs
8442,10/02/2006,Hornets, Brandon Bass,,activated from IL
8443,10/02/2006,Jazz,, Gordan Giricek,placed on IL
8444,10/02/2006,Jazz, Carlos Boozer,,activated from IL
8445,10/02/2006,Mavericks,, Devin Harris,placed on IL with strained quadricep
8446,10/02/2006,Mavericks, Josh Powell,,activated from IL
8447,10/02/2006,Nets,, Jason Collins,placed on IL with bruised thigh
8448,10/02/2006,Nets, Linton Johnson III,,activated from IL
8449,10/02/2006,Timberwolves,, Ronald Dupree,placed on IL
8450,10/02/2006,Timberwolves, Richie Frahm,,activated from IL
8451,11/02/2006,Bucks, Toni Kukoc,,activated from IL
8452,11/02/2006,Rockets,, Stromile Swift,placed on IL for being late to practice
8453,11/02/2006,Rockets, Jon Barry,,activated from IL
8454,11/02/2006,Rockets, Keith Bogans,,activated from IL
8455,11/02/2006,Timberwolves,, Marko Jaric,placed on IL with knee injury
8456,11/02/2006,Timberwolves, Ronald Dupree,,activated from IL
8457,12/02/2006,76ers, Steven Hunter,,activated from IL
8458,12/02/2006,Heat,, Gerald Fitch,placed on IL
8459,12/02/2006,Heat, Alonzo Mourning,,activated from IL
8460,12/02/2006,Nets,, Linton Johnson III,placed on IL
8461,12/02/2006,Nets, Jason Collins,,activated from IL
8462,12/02/2006,Rockets,, Jon Barry,placed on IL
8463,12/02/2006,Rockets, Stromile Swift,,activated from IL
8464,13/02/2006,Blazers,, Theo Ratliff,placed on IL with knee injury
8465,13/02/2006,Blazers, Darius Miles,,activated from IL
8466,13/02/2006,Hornets,, Brandon Bass,placed on IL
8467,13/02/2006,Knicks,, Jerome James,placed on IL
8468,13/02/2006,Knicks, Trevor Ariza,,activated from IL
8469,13/02/2006,Mavericks,, Josh Powell,placed on IL
8470,13/02/2006,Mavericks, Devin Harris,,activated from IL
8471,13/02/2006,Spurs,, Robert Horry,placed on IL with lower abdominal strain
8472,13/02/2006,Spurs, Fabricio Oberto,,activated from IL
8473,14/02/2006,Bucks,, Reece Gaines,placed on IL
8474,14/02/2006,Heat,, James Posey,placed on IL with flu
8475,14/02/2006,Heat, Dorell Wright,,activated from IL
8476,14/02/2006,Rockets,, Maciej Lampe,placed on IL
8477,14/02/2006,Rockets, Jon Barry,,activated from IL
8478,15/02/2006,Hornets,, Arvydas Macijauskas,placed on IL
8479,15/02/2006,Hornets, Chris Paul,,activated from IL
8480,15/02/2006,Magic,, Carlos Arroyo,placed on IL
8481,15/02/2006,Magic,, Darko Milicic,placed on IL
8482,15/02/2006,Magic, Charles Outlaw / Bo Outlaw,,activated from IL
8483,15/02/2006,Nuggets,, Eduardo Najera,placed on IL with right knee surgery
8484,15/02/2006,Nuggets, Bryon Russell,,activated from IL
8485,16/02/2006,Bulls, Eric Piatkowski,,activated from IL
8486,21/02/2006,Bucks,, Jermaine Jackson,placed on IL
8487,21/02/2006,Bucks, Maurice Williams / Mo Williams,,activated from IL
8488,21/02/2006,Clippers,, Quinton Ross,placed on IL with sore lower back
8489,21/02/2006,Clippers,, Vin Baker,placed on IL
8490,21/02/2006,Clippers, Zeljko Rebraca,,activated from IL
8491,21/02/2006,Hornets,, David West,placed on IL with birth of child
8492,21/02/2006,Hornets, Arvydas Macijauskas,,activated from IL
8493,21/02/2006,Lakers,, Von Wafer,placed on IL
8494,21/02/2006,Lakers, Chris Mihm,,activated from IL
8495,21/02/2006,Magic,, Charles Outlaw / Bo Outlaw,placed on IL
8496,21/02/2006,Magic,, Travis Diener,placed on IL
8497,21/02/2006,Magic, Carlos Arroyo,,activated from IL
8498,21/02/2006,Magic, Darko Milicic,,activated from IL
8499,21/02/2006,Pistons,, Kelvin Cato,placed on IL
8500,21/02/2006,Pistons, Alex Acker,,activated from IL
8501,21/02/2006,Pistons, Jason Maxiell,,activated from IL
8502,21/02/2006,Sonics, Rick Brunson,,activated from IL
8503,21/02/2006,Timberwolves,, Richie Frahm,placed on IL
8504,21/02/2006,Timberwolves, Marko Jaric,,activated from IL
8505,21/02/2006,Celtics, Gerald Green (b. 1986-01-26),,activated from IL
8506,22/02/2006,Blazers,, Zach Randolph,placed on IL with swollen mouth
8507,22/02/2006,Blazers, Sergei Monia,,activated from IL
8508,22/02/2006,Bobcats,, Bernard Robinson,placed on IL
8509,22/02/2006,Bobcats, Gerald Wallace,,activated from IL
8510,22/02/2006,Heat,, Jason Kapono,placed on IL
8511,22/02/2006,Heat, James Posey,,activated from IL
8512,22/02/2006,Hornets,, Craig Claxton / Speedy Claxton,placed on IL with sprained left ankle
8513,22/02/2006,Hornets, David West,,activated from IL
8514,22/02/2006,Knicks, Stephon Marbury,,activated from IL
8515,22/02/2006,Magic,, Steve Francis,placed on IL
8516,22/02/2006,Magic, Travis Diener,,activated from IL
8517,22/02/2006,Rockets, Maciej Lampe,,activated from IL
8518,22/02/2006,Magic,, Trevor Ariza,placed on IL
8519,22/02/2006,Magic,, Anfernee Hardaway / Penny Hardaway,placed on IL
8520,24/02/2006,Knicks,, Nate Robinson,placed on IL
8521,24/02/2006,Knicks, Steve Francis,,activated from IL
8522,24/02/2006,Lakers,, Von Wafer,placed on IL
8523,24/02/2006,Lakers, Chris Mihm,,activated from IL
8524,24/02/2006,Magic,, Hidayet Turkoglu / Hedo Turkoglu,placed on IL with sprained left ankle
8525,24/02/2006,Magic, Trevor Ariza,,activated from IL
8526,24/02/2006,Nuggets,, Greg Buckner,placed on IL with hyperextended right knee
8527,24/02/2006,Rockets,, Gerald Fitch,placed on IL
8528,24/02/2006,Timberwolves,, Ronald Dupree,placed on IL
8529,24/02/2006,Timberwolves, Richie Frahm,,activated from IL
8530,24/02/2006,Magic,, Charles Outlaw / Bo Outlaw,placed on IL
8531,24/02/2006,Nuggets, Julius Hodge,,activated from IL
8532,25/02/2006,Bobcats,, Melvin Ely,placed on IL with ankle injury
8533,25/02/2006,Bobcats, Bernard Robinson,,activated from IL
8534,25/02/2006,Bucks,, Maurice Williams / Mo Williams,placed on IL
8535,25/02/2006,Bucks, Jermaine Jackson,,activated from IL
8536,25/02/2006,Heat,, Derek Anderson,placed on IL
8537,25/02/2006,Heat,, Dorell Wright,placed on IL
8538,25/02/2006,Heat, Jason Kapono,,activated from IL
8539,25/02/2006,Hornets,, Desmond Mason,placed on IL with bruised tailbone
8540,25/02/2006,Hornets,, Jackson Vroman,placed on IL with fractured right wrist
8541,25/02/2006,Hornets, Brandon Bass,,activated from IL
8542,25/02/2006,Mavericks,, Josh Howard,placed on IL with sprained right ankle
8543,25/02/2006,Mavericks, Josh Powell,,activated from IL
8544,26/02/2006,Blazers, Zach Randolph,,activated from IL
8545,26/02/2006,Grizzlies,, Eddie Jones,placed on IL with sore left foot
8546,26/02/2006,Grizzlies, Anthony Roberson,,activated from IL
8547,26/02/2006,Hornets,, Brandon Bass,placed on IL
8548,26/02/2006,Hornets, Desmond Mason,,activated from IL
8549,26/02/2006,Magic,, Travis Diener,placed on IL
8550,26/02/2006,Magic, Hidayet Turkoglu / Hedo Turkoglu,,activated from IL
8551,27/02/2006,Bobcats,, Kareem Rush,placed on IL
8552,27/02/2006,Bobcats, Melvin Ely,,activated from IL
8553,27/02/2006,Clippers,, Chris Kaman,placed on IL with sprained left ankle
8554,27/02/2006,Clippers, Vin Baker,,activated from IL
8555,27/02/2006,Grizzlies,, Anthony Roberson,placed on IL
8556,27/02/2006,Grizzlies, Eddie Jones,,activated from IL
8557,27/02/2006,Kings,, Sergei Monia,placed on IL
8558,27/02/2006,Mavericks,, Devin Harris,placed on IL with strained left quadricep
8559,27/02/2006,Mavericks,, Josh Powell,placed on IL
8560,27/02/2006,Mavericks, Josh Howard,,activated from IL
8561,27/02/2006,Mavericks, Rawle Marshall,,activated from IL
8562,27/02/2006,Nuggets,, Julius Hodge,placed on IL
8563,27/02/2006,Nuggets, Greg Buckner,,activated from IL
8564,01/03/2006,Bobcats,, Kevin Burleson,placed on IL
8565,01/03/2006,Bobcats, Kareem Rush,,activated from IL
8566,01/03/2006,Cavaliers, Ira Newble,,activated from IL
8567,01/03/2006,Celtics,, Kendrick Perkins,placed on IL
8568,01/03/2006,Celtics, Al Jefferson,,activated from IL
8569,01/03/2006,Hornets,, J.R. Smith,placed on IL
8570,01/03/2006,Hornets, Brandon Bass,,activated from IL
8571,01/03/2006,Nuggets, Eduardo Najera,,activated from IL
8572,01/03/2006,Raptors,, Rafael Araujo,placed on IL
8573,01/03/2006,Raptors, Antonio Davis,,activated from IL
8574,01/03/2006,Rockets, Stromile Swift,,activated from IL
8575,01/03/2006,Pistons,, Tony Delk,placed on IL
8576,02/03/2006,Spurs,, Sean Marks,placed on IL
8577,02/03/2006,Spurs, Robert Horry,,activated from IL
8578,03/03/2006,Clippers,, James Singleton,placed on IL
8579,03/03/2006,Clippers,, Yaroslav Korolev,placed on IL
8580,03/03/2006,Clippers,, Zeljko Rebraca,placed on IL with hamstring injury
8581,03/03/2006,Clippers, Chris Kaman,,activated from IL
8582,03/03/2006,Clippers, Corey Maggette,,activated from IL
8583,03/03/2006,Clippers, Quinton Ross,,activated from IL
8584,03/03/2006,Kings,, Francisco Garcia,placed on IL with ankle injury
8585,03/03/2006,Kings,, Jamal Sampson,placed on IL
8586,03/03/2006,Kings, Bonzi Wells,,activated from IL
8587,03/03/2006,Kings, Sergei Monia,,activated from IL
8588,03/03/2006,Knicks,, Maurice Taylor,placed on IL with sore left knee
8589,03/03/2006,Knicks, Jerome James,,activated from IL
8590,03/03/2006,Magic,, Grant Hill,placed on IL with sports hernia
8591,03/03/2006,Magic,, Mario Kasun,placed on IL
8592,03/03/2006,Magic, Charles Outlaw / Bo Outlaw,,activated from IL
8593,03/03/2006,Magic, Jameer Nelson,,activated from IL
8594,03/03/2006,Rockets,, Rick Brunson,placed on IL
